20230506	17:21:08	41f2ad74-f009-4bdc-8f8a-598e8ca34851	GET	undefined	/css/style.css
20230506	17:21:08	91e4d25a-cc56-4f61-8c17-99a32f728530	GET	undefined	/img/img.jpeg
20230506	17:23:02	4e9cab06-1dd8-40c0-967e-b20a920df9d4	OPTIONS	https://www.google.com	/
20230506	17:23:02	0e5b3111-df4e-4c85-b5de-fc0bb237b19f	GET	https://www.google.com	/
20230506	17:23:15	e499ffb2-c798-42ac-9582-e9631770464f	GET	undefined	/
20230506	17:23:15	c04d5e1a-7c05-4f72-aa22-d20489ce20e0	GET	undefined	/css/style.css
20230506	17:23:15	b2b43594-8654-48e7-9746-c3e58dbb43c5	GET	undefined	/img/img.jpeg
20230506	17:23:29	0032d894-2de7-4a10-804c-755193bd8585	GET	undefined	/
20230506	17:24:49	e7a80a50-25ec-4881-b078-7aca1c6f1019	GET	undefined	/
20230506	17:24:49	9eed1e7f-284e-4f05-bb66-913b763e2fc7	GET	undefined	/css/style.css
20230506	17:24:49	e0444be9-28ff-4a2c-a6f3-ee39a7b72be0	GET	undefined	/img/img.jpeg
20230506	17:27:03	094bd5d7-c40d-459a-8f78-077ba723aca2	OPTIONS	https://www.google.com	/
20230506	17:27:03	32bf4769-0b85-4a90-9166-6a26ca6cb169	GET	https://www.google.com	/
20230506	17:27:06	fbff993f-0109-43cf-b344-92ef5e168993	GET	undefined	/
20230506	17:27:06	93d4341b-7474-484c-b065-ae951fc0af96	GET	undefined	/css/style.css
20230506	17:27:06	9e37f6f1-c8dd-4bbc-aaf6-1928a25800a6	GET	undefined	/img/img.jpeg
20230506	17:31:30	70a61cdc-049c-4cae-9a4d-f60d7ce2eead	OPTIONS	https://www.google.com	/
20230506	17:31:30	2b4073fa-0755-433b-9061-890981d5f0fb	GET	https://www.google.com	/
20230506	17:40:43	d055942d-f66c-44e0-a1e6-50aa9c92763c	GET	undefined	/
20230506	17:40:43	62475bfd-d117-40fd-bede-2c1d3bb1bd5b	GET	undefined	/css/style.css
20230506	17:40:43	26581a5f-c512-49c0-8b55-fd265b145ca8	GET	undefined	/img/img.jpeg
20230506	17:41:27	28324e08-0e18-4bb1-8144-15909f37dd6c	GET	undefined	/jhg
20230506	17:41:27	28ee0c3e-16a8-4537-b0e7-c81ff30dfeb3	GET	undefined	/css/style.css
20230506	17:42:27	c3a1ff42-d589-4750-815d-7ba83e14c0a0	GET	undefined	/jhg
20230506	17:42:27	a2fcd249-12c2-4014-8bd1-e3ea6cf6f7d3	GET	undefined	/css/style.css
20230506	19:32:04	0ba6cff2-e90c-4caf-9c5b-9f4309c27e4f	GET	undefined	/
20230506	19:32:13	b753c622-b032-4a58-87f3-8dc22e0c84bc	GET	undefined	/employees
20230506	19:32:45	4fd13dec-17a1-4f43-a854-571bc3cf8b63	GET	undefined	/employees
20230506	19:33:48	c8c88de0-6542-48de-929a-f3128b8d3c98	POST	undefined	/employees
20230506	19:34:16	33fa6421-cb71-404f-8e32-b78098a9cab6	PUT	undefined	/employees
20230506	19:34:36	523ec699-35d1-4b78-8e7e-74b31aba863a	PUT	undefined	/employees
20230506	19:34:47	7e806607-8146-49d7-8d66-24dba730dbcf	DELETE	undefined	/employees
20230506	19:34:58	ee8a2701-277b-4e18-a699-2fb5dcb20b62	GET	undefined	/employees/1
20230506	21:37:15	d83a6415-4967-473b-aa35-68adb2d5c60c	POST	undefined	/employees
20230506	21:37:30	5473fbea-35bd-4b74-b464-1817f971a8dd	POST	undefined	/employees
20230506	21:37:50	873c1dfb-0e07-4889-be0f-5ca0e50eef88	POST	undefined	/employees
20230506	21:38:34	3388773d-b0dd-4093-876c-4837c4c2cc97	POST	undefined	/employees
20230506	21:38:36	6ece8b96-1255-441b-a604-35d70e1b7d40	POST	undefined	/employees
20230506	21:39:16	345eeda4-cc39-42b2-977b-9c0f33b1ac52	POST	undefined	/employees
20230506	21:39:26	33dcee7a-8e62-4d4b-9e11-fe0e641cd115	POST	undefined	/employees
20230506	21:40:06	47e215f8-c63e-46d4-8183-97e34085b294	POST	undefined	/employees
20230506	21:40:53	794bacff-91e3-41c8-8a8e-449f128dd416	POST	undefined	/employees
20230506	21:41:03	216de97c-d7b1-449e-ae75-4ef3fdf905ce	POST	undefined	/employees
20230506	21:41:08	073333c6-d5cf-44ec-84ed-de06a98e0f52	GET	undefined	/employees
20230506	21:41:18	ba1f2320-fae8-4263-822d-fc02322526db	POST	undefined	/employees
20230506	21:49:28	6b862dde-a385-4e78-897f-3cff3b93a95d	GET	undefined	/employees
20230506	21:49:37	ab3896ec-afd6-488b-afcd-cc510a447ba7	POST	undefined	/employees
20230506	21:49:42	fbd11b48-a969-432f-85ee-c0a0604bce13	GET	undefined	/employees
20230506	21:49:49	3f28fb46-cc90-420d-ab42-b043f725c2b6	POST	undefined	/employees
20230506	21:49:56	a4b8dbd2-d914-4c80-bc69-ed7cb341dd3c	POST	undefined	/employees
20230506	21:50:27	dfd976ba-84cc-4fa1-a7c8-1dbae1e44828	PUT	undefined	/employees
20230506	21:50:32	e65a88d7-5ae1-42bc-b27a-0798f14d53e9	GET	undefined	/employees
20230506	21:50:46	bbb4ee7e-7906-42b3-96e2-08863c7a57a7	PUT	undefined	/employees
20230506	21:50:53	e6ea712a-a846-41ab-9375-7e48964951a9	PUT	undefined	/employees
20230506	21:52:59	9ab80ea2-3d35-47e3-99d0-69104e68e1c6	GET	undefined	/employees
20230506	21:53:03	ab057b4e-1109-483c-b77c-0fcc84b5a367	POST	undefined	/employees
20230506	21:53:17	344380a1-900e-4c22-9b00-a6b3a2889964	PUT	undefined	/employees
20230506	21:53:25	51fbfbe7-3228-4f63-b1bd-1c1656c85f5a	POST	undefined	/employees
20230506	21:53:31	455d9764-f0c9-4178-a7c5-38296a8d9057	PUT	undefined	/employees
20230506	21:54:03	63058bdd-2b3a-400f-8687-a67a04fdb6a2	PUT	undefined	/employees
20230506	21:54:07	3a069478-1b3e-4ba2-837d-e18cb5f47855	GET	undefined	/employees
20230506	21:54:18	643f6163-bf5d-4f4f-926c-92f0e28e0730	POST	undefined	/employees
20230506	21:54:24	a5bacac3-2ca3-4e6e-abe0-67dc47c96870	POST	undefined	/employees
20230506	21:54:32	016197b1-4172-40e2-8d85-840cad7c2e1f	PUT	undefined	/employees
20230506	21:54:39	ae7d5f20-6e79-4182-afad-7818107e0129	GET	undefined	/employees
20230506	21:54:52	cedf62dd-508f-4531-af85-04b4a9df9d7e	PUT	undefined	/employees
20230506	21:55:07	121937ed-6119-4427-9fb5-19ba39b4c6a8	DELETE	undefined	/employees
20230506	21:55:15	a432f164-d87e-40d4-aa77-85eee219d74f	DELETE	undefined	/employees
20230506	21:56:23	038e2943-db51-4282-af40-6a9e54dbca40	GET	undefined	/employees
20230506	21:56:40	3408b8c8-e456-44ff-9574-c9708c2148ef	POST	undefined	/employees
20230506	21:56:50	c75f16e3-1391-4793-b8b6-2d3e44a87d85	PUT	undefined	/employees
20230506	21:57:00	e624fb93-3e4d-4054-9620-05f1fa1ad4d6	DELETE	undefined	/employees
20230506	21:57:06	65c1f32b-63d8-4687-9359-7dc3d7cc7b69	GET	undefined	/employees
20230506	21:58:48	38bdf508-2be5-477e-acff-4617bd22ee6a	GET	undefined	/employees
20230506	21:59:06	a10683ea-805e-4811-ba74-394a52cfbae0	POST	undefined	/employees
20230506	21:59:19	690d9704-f8ba-40c2-8af4-6aa623d104ab	GET	undefined	/employees/6634e472-007e-49e9-bd89-ffc9e8f33dad
